field,project,parameter,headline,caveat,basis,source,confidence,url,doi,sentence,source_quote,pdf
Micro and experimental economics,risk,Coefficient of relative risk aversion,"1 in economics, 2-7 in finance",from consumption Euler equation studies,"1,021 estimates from 92 studies","Elminejad et al. 2025, Journal of Economic Surveys",high,https://meta-analysis.cz/risk/,https://doi.org/10.1111/joes.12689,"Coefficient of relative risk aversion: corrected for publication bias, 1 in economics, 2-7 in finance (from consumption Euler equation studies), based on 1,021 estimates from 92 studies (Elminejad et al. 2025, Journal of Economic Surveys).","After correction for the bias, the literature suggests a mean risk aversion of 1 in economics and 2-7 in finance contexts.",https://meta-analysis.cz/risk/risk2.pdf
Micro and experimental economics,incentives,Effect of financial incentives on performance,about 0,field contexts; lab and loss framing modestly positive,"2,193 estimates from 88 economics experiments","Cala et al. 2026, Journal of Political Economy Microeconomics, forthcoming",high,https://meta-analysis.cz/incentives/,,"Effect of financial incentives on performance: corrected for publication bias, about 0 (field contexts; lab and loss framing modestly positive), based on 2,193 estimates from 88 economics experiments (Cala et al. 2026, Journal of Political Economy Microeconomics, forthcoming).","Using recent advances in correcting for publication bias and p-hacking, we find that the corrected mean effect of financial incentives on performance is close to zero across most field contexts.",https://meta-analysis.cz/incentives/incentives.pdf
Micro and experimental economics,exercise,Effect of physical exercise on cognition,"SMD 0.227 for general cognition, 0.027 for memory and 0.012 for executive function",wide prediction intervals spanning negative and positive effects,"2,239 effect-size estimates from 215 meta-analyses",Bartoš et al. 2025,high,https://meta-analysis.cz/exercise/,https://doi.org/10.31234/osf.io/qr8e2_v1,"Effect of physical exercise on cognition: corrected for publication bias, SMD 0.227 for general cognition, 0.027 for memory and 0.012 for executive function (wide prediction intervals spanning negative and positive effects), based on 2,239 effect-size estimates from 215 meta-analyses (Bartoš et al. 2025).","Analyses adjusted for publication bias reveal average effects much smaller than commonly reported (general cognition: standardized mean difference, SMD = 0.227, 95% credible interval 0.116 to 0.330; memory: SMD = 0.027, 95% credible interval 0.000 to 0.227; executive functions: SMD = 0.012, 95% credible interval 0.000 to 0.147), along with wide prediction intervals spanning both negative and positive effects.",
Micro and experimental economics,habits,Habit formation in consumption,"0.4 (macro 0.6, micro 0.1)","mean reported estimate, with no correction for publication bias",597 estimates from 81 published studies,"Havranek et al. 2017, European Economic Review",high,https://meta-analysis.cz/habits/,https://doi.org/10.1016/j.euroecorev.2017.03.009,"Habit formation in consumption: the meta-analytic estimate is 0.4 (macro 0.6, micro 0.1; mean reported estimate, with no correction for publication bias), based on 597 estimates from 81 published studies (Havranek et al. 2017, European Economic Review).","The mean reported strength of habit formation equals 0.4, but the estimates vary widely both within and across studies. We use Bayesian and frequentist model averaging to assign a pattern to this variance while taking into account model uncertainty. Studies employing macro data report consistently larger estimates than micro studies: 0.6 vs. 0.1 on average.",https://meta-analysis.cz/habits/habits2.pdf
Micro and experimental economics,discrate,Individual discount rate (impatience measured in experiments),33% per year,,927 estimates from 56 studies,"Matousek et al. 2022, Experimental Economics",high,https://meta-analysis.cz/discrate/,https://doi.org/10.1007/s10683-021-09716-9,"Individual discount rate (impatience measured in experiments): corrected for publication bias, 33% per year, based on 927 estimates from 56 studies (Matousek et al. 2022, Experimental Economics).",The corrected mean annual discount rate is 0.33.,https://meta-analysis.cz/discrate/discrate2.pdf
Energy and environmental economics,climate,Climate sensitivity (warming from a doubling of CO2),1.4-2.3 degrees Celsius,historical-record estimate; the IPCC AR6 assessment is about 3 C,48 estimates from 16 studies,"Reckova and Irsova 2015, Energy and Environment",high,https://meta-analysis.cz/climate/,https://doi.org/10.1260/0958-305x.26.5.853,"Climate sensitivity (warming from a doubling of CO2): corrected for publication bias, 1.4-2.3 degrees Celsius (historical-record estimate; the IPCC AR6 assessment is about 3 C), based on 48 estimates from 16 studies (Reckova and Irsova 2015, Energy and Environment).","Corrected for publication bias, the bulk of the literature is consistent with climate sensitivity lying between 1.4 and 2.3 degrees Celsius.",https://meta-analysis.cz/climate/climate2.pdf
Energy and environmental economics,dst,Electricity savings from daylight saving time,"essentially zero, 0.01% savings, against a 0.34% simple average of reported estimates","savings during the days DST applies; the paper finds no publication bias in this literature, so this is a methodological correction",162 estimates from 44 studies,"Havranek et al. 2018, Energy Journal",high,https://meta-analysis.cz/dst/,https://doi.org/10.5547/01956574.39.2.thav,"Electricity savings from daylight saving time: the best-practice estimate is essentially zero, 0.01% savings, against a 0.34% simple average of reported estimates (savings during the days DST applies; the paper finds no publication bias in this literature, so this is a methodological correction), based on 162 estimates from 44 studies (Havranek et al. 2018, Energy Journal).","The resulting global estimate is -0.01%, quite distant from -0.34%, the simple average effect reported in the literature. ... We conclude that electricity savings from DST are, on average, negligible and highly unlikely to exceed 0.76% of total electricity consumption during the days when the daylight saving policy is in place.",https://meta-analysis.cz/dst/dst2.pdf
Energy and environmental economics,gasoline,Income elasticity of gasoline demand,"0.1 short run, 0.23 long run",,,"Havranek and Kokes 2015, Energy Economics",high,https://meta-analysis.cz/gasoline/,https://doi.org/10.1016/j.eneco.2014.11.004,"Income elasticity of gasoline demand: corrected for publication bias, 0.1 short run, 0.23 long run (Havranek and Kokes 2015, Energy Economics).",Our results suggest that the income elasticity of gasoline demand is on average much smaller than reported in previous surveys: the mean corrected for publication bias is 0.1 for the short run and 0.23 for the long run.,https://meta-analysis.cz/gasoline/gasoline2.pdf
Energy and environmental economics,water,Income elasticity of water demand,about 0.15 or less,,307 estimates,"Havranek et al. 2018, Land Economics",high,https://meta-analysis.cz/water/,https://doi.org/10.3368/le.94.2.259,"Income elasticity of water demand: corrected for publication bias, about 0.15 or less, based on 307 estimates (Havranek et al. 2018, Land Economics).","Attempting to correct simultaneously for publication and endogeneity biases, we find that the mean underlying elasticity is approximately 0.15 or less.",https://meta-analysis.cz/water/water2.pdf
Energy and environmental economics,resource_curse,Natural resource curse (effect of resource richness on long-run growth),weak support for a curse,,605 estimates from 43 studies,"Havranek et al. 2016, World Development",medium,https://meta-analysis.cz/resource_curse/,https://doi.org/10.1016/j.worlddev.2016.07.016,"Natural resource curse (effect of resource richness on long-run growth): the meta-analytic finding is weak support for a curse, based on 605 estimates from 43 studies (Havranek et al. 2016, World Development).","In a quantitative survey of 605 estimates reported in 43 studies, we find that overall support for the resource curse hypothesis is weak when potential publication bias and method heterogeneity are taken into account.",https://meta-analysis.cz/resource_curse/resource_curse2.pdf
Energy and environmental economics,electricity,Price elasticity of electricity demand,"-0.16 short run, -0.38 long run",best-identified short-run estimates statistically indistinguishable from zero,"4,720 estimates from 462 studies",Kudela et al. 2026,high,https://meta-analysis.cz/electricity/,,"Price elasticity of electricity demand: corrected for publication bias, -0.16 short run, -0.38 long run (best-identified short-run estimates statistically indistinguishable from zero), based on 4,720 estimates from 462 studies (Kudela et al. 2026).","First, the best-identified studies find smaller responses than naive ones: the publication-bias-corrected short-run elasticity is about −0.16 (a 10% rise in the electricity price cuts consumption by under 2%), and only −0.09 among the best-identified studies, whose adjusted value is statistically indistinguishable from zero. Second, responsiveness grows with time to adjust, roughly doubling from −0.16 in the short run to −0.38 in the long run as the capital stock turns over, but this pattern has itself been stable for decades.",https://meta-analysis.cz/electricity/electricity.pdf
Energy and environmental economics,gasoline_price,Price elasticity of gasoline demand,"-0.09 short run, -0.31 long run",,,"Havranek et al. 2012, Energy Economics",high,https://meta-analysis.cz/gasoline_price/,https://doi.org/10.1016/j.eneco.2011.09.003,"Price elasticity of gasoline demand: corrected for publication bias, -0.09 short run, -0.31 long run (Havranek et al. 2012, Energy Economics).","Using mixed-effects multilevel meta-regression, we show that after correction for publication bias the average long-run elasticity reaches -0.31 and the average short-run elasticity only -0.09.",https://meta-analysis.cz/gasoline_price/gasoline_price2.pdf
Energy and environmental economics,scc,Social cost of carbon,0-134 USD per metric ton of carbon,"2010 prices, emission year 2015; per ton of carbon, not CO2",809 estimates from 101 studies,"Havranek et al. 2015, Energy Economics",high,https://meta-analysis.cz/scc/,https://doi.org/10.1016/j.eneco.2015.08.009,"Social cost of carbon: corrected for publication bias, 0-134 USD per metric ton of carbon (2010 prices, emission year 2015; per ton of carbon, not CO2), based on 809 estimates from 101 studies (Havranek et al. 2015, Energy Economics).",Our estimates of the mean reported SCC corrected for the selective reporting bias range between 0 and 134 USD per ton of carbon in 2010 prices for emission year 2015.,https://meta-analysis.cz/scc/scc2.pdf
International economics,armington,Armington elasticity (substitution between domestic and foreign goods),"2.5-5.1, median 3.8",,"3,524 estimates","Bajzik et al. 2020, Journal of International Economics",high,https://meta-analysis.cz/armington/,https://doi.org/10.1016/j.jinteco.2020.103383,"Armington elasticity (substitution between domestic and foreign goods): the meta-analytic estimate is 2.5-5.1, median 3.8, based on 3,524 estimates (Bajzik et al. 2020, Journal of International Economics).","Third, the elasticity implied by the literature after accounting for both publication bias and study quality lies in the range 2.5--5.1 with a median of 3.8.",https://meta-analysis.cz/armington/armington2.pdf
International economics,border,Border effect on international trade,one-third reduction in trade,,"1,271 estimates from 61 studies","Havranek and Irsova 2017, IMF Economic Review",high,https://meta-analysis.cz/border/,https://doi.org/10.1057/s41308-016-0001-5,"Border effect on international trade: the meta-analytic finding is one-third reduction in trade, based on 1,271 estimates from 61 studies (Havranek and Irsova 2017, IMF Economic Review).",We show that major methodological innovations of the last decade combine to shrink the border effect to a one-third reduction in international trade flows worldwide.,https://meta-analysis.cz/border/border2.pdf
International economics,bma,Determinants of horizontal FDI spillovers,spillovers are zero on average but depend systematically on the technology gap and ownership structure; encouraging joint ventures with investors holding a smaller technology edge raises the average spillover by about 0.3,,"1,205 estimates screened against 43 candidate determinants","Irsova and Havranek 2013, World Development",high,https://meta-analysis.cz/bma/,https://doi.org/10.1016/j.worlddev.2012.07.001,"Determinants of horizontal FDI spillovers: the main result is that spillovers are zero on average but depend systematically on the technology gap and ownership structure; encouraging joint ventures with investors holding a smaller technology edge raises the average spillover by about 0.3, based on 1,205 estimates screened against 43 candidate determinants (Irsova and Havranek 2013, World Development).","Our results suggest that horizontal spillovers are on average zero, but that their sign and magnitude depend systematically on the characteristics of the domestic economy and foreign investors. The most important determinants are the technology gap between domestic and foreign firms and the ownership structure in investment projects. ... it may increase the average spillovers by 0.144 + 0.158 = 0.302, an economically significant value.",https://meta-analysis.cz/bma/bma2.pdf
International economics,euro,Effect of the euro on trade,"no detectable effect once publication bias is corrected, while other currency unions raise trade by more than 60%",,,"Havranek 2010, Review of World Economics",high,https://meta-analysis.cz/euro/,https://doi.org/10.1007/s10290-010-0050-1,"Effect of the euro on trade: no detectable effect once publication bias is corrected, while other currency unions raise trade by more than 60% (Havranek 2010, Review of World Economics).","However, according to the meta-regression analysis, the euro's trade promoting effect corrected for publication bias is insignificant.",https://meta-analysis.cz/euro/euro2.pdf
International economics,fdi,FDI spillovers to domestic firm productivity (Czech Republic),+11% productivity per 10-percentage-point rise in foreign presence,as of 2018; 19% for joint ventures,332 estimates,"Hampl et al. 2020, Applied Economics",high,https://meta-analysis.cz/fdi/,https://doi.org/10.1080/00036846.2020.1726864,"FDI spillovers to domestic firm productivity (Czech Republic): the meta-analytic estimate is +11% productivity per 10-percentage-point rise in foreign presence (as of 2018; 19% for joint ventures), based on 332 estimates (Hampl et al. 2020, Applied Economics).","When placing more weight on estimates that solve important identification problems in the literature (such as using data on existing linkages between firms instead of approximations based on input-output tables), we find that, as of 2018, a 10-percentage-point increase in foreign presence is likely to lift the productivity of domestic firms by 11%.",https://meta-analysis.cz/fdi/fdi2.pdf
International economics,forward,Forward premium puzzle (slope from regressions of spot on forward rates),0.23-0.45 for developed and 0.95-1.16 for emerging currencies,unbiasedness hypothesis predicts slope of 1,"3,643 estimates from 91 studies","Zigraiova et al. 2021, European Economic Review",high,https://meta-analysis.cz/forward/,https://doi.org/10.1016/j.euroecorev.2021.103714,"Forward premium puzzle (slope from regressions of spot on forward rates): corrected for publication bias, 0.23-0.45 for developed and 0.95-1.16 for emerging currencies (unbiasedness hypothesis predicts slope of 1), based on 3,643 estimates from 91 studies (Zigraiova et al. 2021, European Economic Review).","Correcting for these biases yields slope coefficients in the intervals (0.23,0.45) and (0.95,1.16) for the currencies of developed and emerging countries respectively.",https://meta-analysis.cz/forward/forward2.pdf
International economics,spillovers,Vertical FDI spillovers to suppliers and buyers,"about 9% higher productivity for suppliers per 10-percentage-point rise in foreign presence, small for buyers and none within the sector",,"3,626 estimates","Havranek and Irsova 2011, Journal of International Economics",high,https://meta-analysis.cz/spillovers/,https://doi.org/10.1016/j.jinteco.2011.07.004,"Vertical FDI spillovers to suppliers and buyers: the estimate corrected for publication and misspecification bias is about 9% higher productivity for suppliers per 10-percentage-point rise in foreign presence, small for buyers and none within the sector, based on 3,626 estimates (Havranek and Irsova 2011, Journal of International Economics).","Taking into consideration publication and misspecification bias, our preferred estimate suggests that a 10-percentage-point increase in foreign presence is associated with an increase in the productivity of domestic firms in supplier sectors of about 9%.",https://meta-analysis.cz/spillovers/spillovers2.pdf
Labor and education economics,class,Effect of class size on student achievement,about 0,except in the STAR experiment and classes under 15 students,"2,819 estimates from 66 studies","Opatrny et al. 2025, Journal of Labor Economics",high,https://meta-analysis.cz/class/,https://doi.org/10.1086/737989,"Effect of class size on student achievement: the meta-analytic estimate is about 0 (except in the STAR experiment and classes under 15 students), based on 2,819 estimates from 66 studies (Opatrny et al. 2025, Journal of Labor Economics).",The implied class size effect is negligible for all identification approaches except Tennessee's Student/Teacher Achievement Ratio project and for all contexts except classes of fewer than 15 students.,https://meta-analysis.cz/class/class.pdf
Labor and education economics,students,Effect of working while in school on educational outcomes,"about 0, slightly negative",more substantive for dropout decisions,861 estimates from 69 studies,"Kroupova et al. 2024, Economics of Education Review",high,https://meta-analysis.cz/students/,https://doi.org/10.1016/j.econedurev.2024.102539,"Effect of working while in school on educational outcomes: the meta-analytic estimate is about 0, slightly negative (more substantive for dropout decisions), based on 861 estimates from 69 studies (Kroupova et al. 2024, Economics of Education Review).",Overall the literature suggests a negative but economically inconsequential mean effect.,https://meta-analysis.cz/students/students2.pdf
Labor and education economics,migrant,Elasticity of substitution between native and immigrant workers,about 17,baseline regional specification; simple bias correction implies 22,"1,091 estimates from 41 studies",Kantova et al. 2026,high,https://meta-analysis.cz/migrant/,,"Elasticity of substitution between native and immigrant workers: corrected for publication bias, about 17 (baseline regional specification; simple bias correction implies 22), based on 1,091 estimates from 41 studies (Kantova et al. 2026).","Our best-practice estimates, which net out publication bias and prioritize the most granular data, imply an elasticity of about 17 in our baseline regional specification, lower than implied by a simple bias correction but substantially higher than the uncorrected mean.",https://meta-analysis.cz/migrant/migrant.pdf
Labor and education economics,skill,Elasticity of substitution between skilled and unskilled labor,"4, with a lower bound of 2 and smaller values in developing countries",,682 estimates from 77 studies,"Havranek et al. 2024, Review of Economics and Statistics",high,https://meta-analysis.cz/skill/,https://doi.org/10.1162/rest_a_01227,"Elasticity of substitution between skilled and unskilled labor: the meta-analytic estimate is 4, with a lower bound of 2 and smaller values in developing countries, based on 682 estimates from 77 studies (Havranek et al. 2024, Review of Economics and Statistics).","The implied mean elasticity is 4, with a lower bound of 2.",https://meta-analysis.cz/skill/skill2.pdf
Labor and education economics,frisch,Frisch elasticity of labor supply (intertemporal substitution in hours worked),about 0.25 for total hours,"0.2 on the intensive margin, near zero on the extensive",over 700 estimates for each margin,"Elminejad et al. 2023, Review of Economic Dynamics",high,https://meta-analysis.cz/frisch/,https://doi.org/10.1016/j.red.2023.10.001,"Frisch elasticity of labor supply (intertemporal substitution in hours worked): the meta-analytic estimate is about 0.25 for total hours (0.2 on the intensive margin, near zero on the extensive), based on over 700 estimates for each margin (Elminejad et al. 2023, Review of Economic Dynamics).",A total hours elasticity of about 0.25 is the most consistent with empirical evidence.,https://meta-analysis.cz/frisch/frisch2.pdf
Labor and education economics,learning,Learning loss from COVID-19 school closures,"about -0.12 SD, roughly 30% of a school year",,,Luskova et al. 2026,high,https://meta-analysis.cz/learning/,,"Learning loss from COVID-19 school closures: the meta-analytic estimate is about -0.12 SD, roughly 30% of a school year (Luskova et al. 2026).","Our preferred specifications, RoBMA and MAIVE, rely on different assumptions yet converge on an effect size of approximately −0.12 SD, equivalent to a learning loss of about 30% of a school year.",https://meta-analysis.cz/learning/learning.pdf
Labor and education economics,education,Tuition-enrollment elasticity (effect of tuition on university enrollment),about 0,,443 estimates from 43 studies,"Havranek et al. 2018, Oxford Bulletin of Economics and Statistics",high,https://meta-analysis.cz/education/,https://doi.org/10.1111/obes.12240,"Tuition-enrollment elasticity (effect of tuition on university enrollment): corrected for publication bias, about 0, based on 443 estimates from 43 studies (Havranek et al. 2018, Oxford Bulletin of Economics and Statistics).","After correcting for this publication bias, we find that the literature is consistent with the mean tuition-enrollment elasticity being close to zero.",https://meta-analysis.cz/education/education2.pdf
Financial economics,competition,Effect of bank competition on financial stability,about 0,,598 estimates from 31 studies,"Zigraiova and Havranek 2016, Journal of Economic Surveys",medium,https://meta-analysis.cz/competition/,https://doi.org/10.1111/joes.12131,"Effect of bank competition on financial stability: corrected for publication bias, about 0, based on 598 estimates from 31 studies (Zigraiova and Havranek 2016, Journal of Economic Surveys).","Taken together, the estimates reported in the literature suggest little interplay between competition and stability, even when corrected for publication bias and potential misspecifications.",https://meta-analysis.cz/competition/competition2.pdf
Financial economics,esg,Effect of board gender diversity on ESG performance,about 0.12 ESG points per 1-pp diversity increase,"higher in the Middle East, about zero in Southeast Asia",533 estimates from 106 studies,Hozova et al. 2026,high,https://meta-analysis.cz/esg/,,"Effect of board gender diversity on ESG performance: the meta-analytic estimate is about 0.12 ESG points per 1-pp diversity increase (higher in the Middle East, about zero in Southeast Asia), based on 533 estimates from 106 studies (Hozova et al. 2026).","A best-practice estimate that also imposes sound study design puts it near 0.12 for most of the world, markedly higher for the Middle East, and essentially zero, if anything slightly negative, for the Southeast Asian markets that dominate the Asian evidence.",https://meta-analysis.cz/esg/esg.pdf
Financial economics,finance_growth,Effect of financial development on economic growth,"positive but widely varying; studies ignoring endogeneity overstate it, and the effect weakens after the 1980s and in poorer countries",,"1,334 estimates from 67 studies","Valickova et al. 2015, Journal of Economic Surveys",high,https://meta-analysis.cz/finance_growth/,https://doi.org/10.1111/joes.12068,"Effect of financial development on economic growth: the meta-analytic estimate is positive but widely varying; studies ignoring endogeneity overstate it, and the effect weakens after the 1980s and in poorer countries, based on 1,334 estimates from 67 studies (Valickova et al. 2015, Journal of Economic Surveys).","Taken together, the studies imply a positive and statistically significant effect, but the individual estimates vary widely.",https://meta-analysis.cz/finance_growth/finance_growth2.pdf
Financial economics,remittances,Effect of remittances on economic growth,positive but economically small,growth-enhancing in Asia but not Africa,538 estimates from 95 studies,"Cazachevici et al. 2020, World Development",high,https://meta-analysis.cz/remittances/,https://doi.org/10.1016/j.worlddev.2020.105021,"Effect of remittances on economic growth: the meta-analytic finding is positive but economically small (growth-enhancing in Asia but not Africa), based on 538 estimates from 95 studies (Cazachevici et al. 2020, World Development).","Correcting for the bias using recently developed techniques, we find that the mean effect of remittances on growth is still positive but economically small.",https://meta-analysis.cz/remittances/remittances2.pdf
Financial economics,hedge,Hedge fund alpha (monthly risk-adjusted return),30-40 basis points per month,gross of fees; the companion study finds about zero after fees and design,"1,019 alpha estimates from 74 studies","Yang et al. 2024, Journal of Economic Surveys",high,https://meta-analysis.cz/hedge/,https://doi.org/10.1111/joes.12574,"Hedge fund alpha (monthly risk-adjusted return): corrected for publication bias, 30-40 basis points per month (gross of fees; the companion study finds about zero after fees and design), based on 1,019 alpha estimates from 74 studies (Yang et al. 2024, Journal of Economic Surveys).",Most of our monthly alpha estimates adjusted for the (small) bias fall within a relatively narrow range of 30 to 40 basis points.,https://meta-analysis.cz/hedge/hedge2.pdf
Financial economics,size,Size premium in stock returns,1.72% per year,smallest vs. largest capitalization quintile,"1,746 estimates from 102 published studies","Astakhov et al. 2019, Journal of Economic Surveys",high,https://meta-analysis.cz/size/,https://doi.org/10.1111/joes.12335,"Size premium in stock returns: corrected for publication bias, 1.72% per year (smallest vs. largest capitalization quintile), based on 1,746 estimates from 102 published studies (Astakhov et al. 2019, Journal of Economic Surveys).","After correcting for the bias, we find that the literature suggests a size premium (the difference in annual stock returns on the smallest and largest capitalization quintile) of 1.72%.",https://meta-analysis.cz/size/size2.pdf
